mp_id k_lattice
mp-1028769 6.838301
mp-1028686 7.876103
mp-1197907 1.202016
mp-583581 0.772271
mp-759856 10.881720
mp-28575 4.133357
mp-774146 21.113651
mp-755140 1.389738
mp-2459381 12.208055
mp-1119334 6.655000
mp-1044197 5.128237
mp-1216343 16.695646
mp-1029262 31.308783
mp-1190901 9.158540
mp-31455 13.434618
mp-1105584 8.038306
mp-541155 15.635774
mp-768093 8197.016881
mp-554803 4.879659
mp-505688 5.876604
mp-770892 8.148697
mp-766127 11.590808
mp-724566 2686601127.180364
mp-698583 24.448556
mp-763482 38.559908
mp-559299 21.545525
mp-556459 9.046754
mp-554181 8.954637
mp-26462 14.832323
mp-26430 22.104146
mp-25265 9.014237
mp-25203 13.163835
mp-1216303 39.366535
mp-1100906 25.923842
mp-1216403 0.947736
mp-555373 3.624197
mp-850876 100.055253
mp-776473 4.188853
mp-776441 0.467997
mp-775981 5.043774
mp-764274 28.442450
mp-761177 32.716922
mp-761122 2.617897
mp-760367 4.600463
mp-760313 26.213528
mp-760178 2.969517
mp-759983 3.675938
mp-759725 5.668001
mp-756077 139.529202
mp-753525 7.525719
mp-752787 9.253184
mp-2903341 1.644220
mp-831258 6.418673
mp-778616 6.579278
mp-779090 19.516983
mp-766424 5.837554
mp-764057 13.258459
mp-764002 3.477693
mp-762980 4.776634
mp-760938 18.078143
mp-760933 13.417566
mp-759469 8.541205
mp-756042 22.130364
mp-755077 27.863657
mp-754683 14.645819
mp-752776 15951.379061
mp-752631 19.900042
mp-505263 8.973853
mp-1205113 578965.762666
mp-1102003 20.009627
mp-1200957 2.638958
mp-1191502 8.903665
mp-752578 1.869037
mp-29188 5.487721
mp-627119 12.100807
mp-625407 4.508296
mp-625246 8.658486
mp-1178894 10.989731
mp-1178874 12.876241
mp-726626 12.671091
mp-1195697 5.060610
mp-567636 85423889.299427
mp-765646 12.980986
mp-765624 3.283129
mp-760320 2.950799
mp-760250 4.517234
mp-758214 0.480195
mp-753449 186293.342422
mp-752912 18.194901
mp-752907 5.972908
mp-752600 15.426627
mp-27309 3.980278
